城市,名称,性质,床位,价格(元/月),特色服务,地址
北京,北京朝阳区福祐养老院,民营,300张,4500,"医养结合,邻近医院,交通便利,餐饮定制,康复护理",豆各庄双桥路29号
北京,北京万科通州随园养老中心,公建民营,649张,7300,"邻近医院,餐饮定制,适老化设计,康复护理,个性化护理",漷兴北四街
北京,北京市房山区随园养老中心,公建民营,770张,6800,"医养结合,邻近医院,交通便利,餐饮定制,适老化设计",北京市房山区长阳镇阜盛东街48号院
北京,乐成养老·半壁店恭和家园,民营,876张,13000,"医养结合,邻近医院,邻近景点,高端定位,餐饮定制",怡乐南街25号
北京,乐成养老·半壁店恭和苑,民营,398张,9000,"医养结合,邻近医院,交通便利,适老化设计,康复护理",怡乐南街16号院3号楼1-9层
北京,通用芳华（北京美康）长者公寓,民营,193张,9800,"医养结合,邻近医院,餐饮定制,康复护理,个性化护理",光明中街18号
北京,泰康之家·燕园,民营,3000张,11000,"医养结合,邻近医院,餐饮定制,高端定位,适老化设计",南邵镇景荣街2号
北京,北京市丰台区看丹老年公寓,公助民办,600张,2500,"医养结合,邻近医院,适老化设计,康复护理,临终关怀",永合庄1号院
北京,北京丰台区相儒养老院,民营,152张,3900,"医保定点,医养结合,餐饮定制,交通便利,适老化设计",葆台西路1号院2号楼
北京,椿萱茂和园长者社区,民营,550张,6800,"高端定位,康复护理,连锁品牌,餐饮定制,医养结合",牛栏山镇
北京,北京市朝阳区江达爱心养老院,民营,152张,3000,"医养结合,交通便利,康复护理",来广营西路临27号
北京,大家的家·北京阜成城心社区,民营,304张,12000,"医养结合,邻近医院,康复护理",北礼士路98号
北京,燕达金色年华健康养护中心,民营,15000张,6200,"邻近医院,交通便利,餐饮定制,适老化设计,康复护理",东燕郊经济技术开发区思菩兰路西侧
北京,泰康之家·北京市海淀区西北旺镇养老服务中心,公办民营,110张,价格面议,"邻近医院,交通便利,适老化设计,康复护理",西北旺镇新谊路13号院1号楼
北京,恒颐复健之家•自如,公办民营,104张,8500,"医养结合,医保定点,邻近景点,高端定位,康复护理",太平街35号
北京,北京市朝阳区万科怡园光熙国际康复老年公寓,民营,110张,价格面议,"医养结合,邻近医院,交通便利,康复护理",北京市朝阳区光熙门北里22号
北京,北京大兴区中晟百晨养老院,民营,550张,5000,"医养结合,康复护理",西红门镇宏福东路甲1号
北京,普亲养老·北京长辛店院,公办民营,160张,6000,"医养结合,邻近医院,适老化设计,康复护理,连锁品牌",长辛店永兴里103号院内
北京,北京市丰台区泰颐春养老中心,民营,217张,8000,"交通便利,医养结合,高端定位,邻近医院,餐饮定制",北京市丰台区榴花路2号院1号楼
北京,北京市房山区拱辰街道社会福利中心,公建民营,500张,2200,"邻近医院,适老化设计,康复护理,临终关怀",拱辰街道梨村
北京,北京市朝阳区恒爱吉星养老院,公建民营,30张,5100,"餐饮定制,适老化设计,个性化护理,交通便利,试住体验",来广营朝悦居6号楼
